epoch:50, train_loss:0.0495, val_loss:0.0545, train_F1:0.9514, val_F1:0.9526, train_prec:0.9412, val_prec:0.9243, train_recall:0.9618, val_recall:0.9826, train_auc:0.9254, val_auc:0.9293, train_pr:0.9880, val_pr:0.9883
epoch:51, train_loss:0.0482, val_loss:0.0469, train_F1:0.9532, val_F1:0.9561, train_prec:0.9444, val_prec:0.9387, train_recall:0.9621, val_recall:0.9741, train_auc:0.9301, val_auc:0.9351, train_pr:0.9888, val_pr:0.9898
epoch:52, train_loss:0.0468, val_loss:0.0563, train_F1:0.9545, val_F1:0.9504, train_prec:0.9466, val_prec:0.9199, train_recall:0.9625, val_recall:0.9830, train_auc:0.9346, val_auc:0.9109, train_pr:0.9896, val_pr:0.9862
epoch:53, train_loss:0.0452, val_loss:0.0455, train_F1:0.9561, val_F1:0.9564, train_prec:0.9489, val_prec:0.9519, train_recall:0.9634, val_recall:0.9609, train_auc:0.9397, val_auc:0.9374, train_pr:0.9905, val_pr:0.9901
epoch:54, train_loss:0.0449, val_loss:0.0453, train_F1:0.9565, val_F1:0.9576, train_prec:0.9498, val_prec:0.9464, train_recall:0.9634, val_recall:0.9690, train_auc:0.9405, val_auc:0.9380, train_pr:0.9907, val_pr:0.9899
epoch:55, train_loss:0.0436, val_loss:0.0473, train_F1:0.9578, val_F1:0.9515, train_prec:0.9509, val_prec:0.9581, train_recall:0.9648, val_recall:0.9450, train_auc:0.9433, val_auc:0.9381, train_pr:0.9911, val_pr:0.9903
epoch:56, train_loss:0.0432, val_loss:0.0463, train_F1:0.9581, val_F1:0.9543, train_prec:0.9518, val_prec:0.9581, train_recall:0.9645, val_recall:0.9506, train_auc:0.9452, val_auc:0.9392, train_pr:0.9914, val_pr:0.9904
epoch:57, train_loss:0.0425, val_loss:0.0541, train_F1:0.9591, val_F1:0.9349, train_prec:0.9530, val_prec:0.9704, train_recall:0.9653, val_recall:0.9019, train_auc:0.9473, val_auc:0.9390, train_pr:0.9917, val_pr:0.9905
epoch:58, train_loss:0.0416, val_loss:0.0457, train_F1:0.9592, val_F1:0.9568, train_prec:0.9536, val_prec:0.9373, train_recall:0.9648, val_recall:0.9772, train_auc:0.9497, val_auc:0.9380, train_pr:0.9922, val_pr:0.9899
epoch:59, train_loss:0.0415, val_loss:0.0491, train_F1:0.9598, val_F1:0.9488, train_prec:0.9543, val_prec:0.9595, train_recall:0.9654, val_recall:0.9384, train_auc:0.9500, val_auc:0.9363, train_pr:0.9922, val_pr:0.9900
epoch:60, train_loss:0.0403, val_loss:0.0465, train_F1:0.9608, val_F1:0.9517, train_prec:0.9552, val_prec:0.9609, train_recall:0.9665, val_recall:0.9426, train_auc:0.9532, val_auc:0.9394, train_pr:0.9928, val_pr:0.9904
epoch:61, train_loss:0.0402, val_loss:0.0475, train_F1:0.9612, val_F1:0.9499, train_prec:0.9560, val_prec:0.9640, train_recall:0.9664, val_recall:0.9363, train_auc:0.9529, val_auc:0.9401, train_pr:0.9926, val_pr:0.9904
epoch:62, train_loss:0.0394, val_loss:0.0455, train_F1:0.9616, val_F1:0.9589, train_prec:0.9568, val_prec:0.9478, train_recall:0.9664, val_recall:0.9704, train_auc:0.9548, val_auc:0.9386, train_pr:0.9930, val_pr:0.9894
epoch:63, train_loss:0.0397, val_loss:0.0456, train_F1:0.9611, val_F1:0.9576, train_prec:0.9563, val_prec:0.9528, train_recall:0.9660, val_recall:0.9625, train_auc:0.9543, val_auc:0.9390, train_pr:0.9930, val_pr:0.9897
epoch:64, train_loss:0.0392, val_loss:0.0543, train_F1:0.9616, val_F1:0.9379, train_prec:0.9568, val_prec:0.9675, train_recall:0.9665, val_recall:0.9100, train_auc:0.9559, val_auc:0.9349, train_pr:0.9931, val_pr:0.9898
epoch:65, train_loss:0.0388, val_loss:0.0502, train_F1:0.9623, val_F1:0.9432, train_prec:0.9580, val_prec:0.9674, train_recall:0.9666, val_recall:0.9201, train_auc:0.9571, val_auc:0.9391, train_pr:0.9935, val_pr:0.9904
epoch:66, train_loss:0.0382, val_loss:0.0453, train_F1:0.9625, val_F1:0.9534, train_prec:0.9584, val_prec:0.9597, train_recall:0.9665, val_recall:0.9471, train_auc:0.9583, val_auc:0.9411, train_pr:0.9935, val_pr:0.9906
epoch:67, train_loss:0.0377, val_loss:0.0452, train_F1:0.9630, val_F1:0.9590, train_prec:0.9587, val_prec:0.9483, train_recall:0.9673, val_recall:0.9699, train_auc:0.9590, val_auc:0.9397, train_pr:0.9936, val_pr:0.9896
epoch:68, train_loss:0.0378, val_loss:0.0481, train_F1:0.9630, val_F1:0.9588, train_prec:0.9593, val_prec:0.9405, train_recall:0.9667, val_recall:0.9779, train_auc:0.9586, val_auc:0.9375, train_pr:0.9936, val_pr:0.9886
epoch:69, train_loss:0.0376, val_loss:0.0493, train_F1:0.9633, val_F1:0.9587, train_prec:0.9595, val_prec:0.9413, train_recall:0.9671, val_recall:0.9766, train_auc:0.9597, val_auc:0.9364, train_pr:0.9938, val_pr:0.9883
